txHash,blockNumber,blockTime,askUser,bidUser,collection,itemIds,amounts,currency,strategyId,feeRecipients,feeAmountsEth,orderHash,orderNonce,isInvalidated
0x9a9582147ac692f1521131b11e574524170cc1935684f106df7374b657519247,22446241,2025-05-09 13:35:23,0xd507d4af71088bafbf2ea0cdb6962694f850de01,0xaf5bdaa011cb70c26277b2d9c4d4727ec1cc8898,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,8894,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0xd507d4af71088bafbf2ea0cdb6962694f850de01,0x0000000000000000000000000000000000000000","2.05,0,0",0x6c74efb7fa47de339c343cfd1f91c27a7072f5d91182c0c0f92abeaa3444fa9c,10,True
0xcaecac5a4a8ee2e2b66ef96e06c286a0ec2a6dc317cc86a95370f886c3b0c7b7,22423639,2025-05-06 09:01:35,0x9ca26730aa028d098c52c3974ab89ec81c74f56c,0x363f8af34ebc6325faec0ddb53dd487f91b332d1,0xd4d871419714b778ebec2e22c7c53572b573706e,9793,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x9ca26730aa028d098c52c3974ab89ec81c74f56c,0x0000000000000000000000000000000000000000","0.01,0,0",0x4f80153dd839c1531dc5471edfda3477c6038c416a0f835245425feac9dc1869,469,True
0x1bf512e928efb725db969a3b5afa690080d35f474a3b665f95967e3fcba190d2,22197389,2025-04-04 18:36:23,0x47c0342ca71159ef9e9838f3491acbd9a360ce38,0x850920d220086aea133c7ee7c7c98906a71ce45e,0x079d9e54e6ac1912e13eb894d6f29ad2edcf0e59,28800020006,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x47c0342ca71159ef9e9838f3491acbd9a360ce38,0x0000000000000000000000000000000000000000","0.5,0,0",0xcccb735d700a1cca2407fdc096b5a478c103d52a5492fe38e8015e4486acf113,0,True
0xd6fe135c6df9b4a4aef7c5ccc23786f2db1d9d39f81bd80f1dda79ac37788260,22190335,2025-04-03 19:00:47,0x283cbf34a178e6316c6364055c0755aa14a26230,0x24a8e8a39fe371c5fbdcd3546612f980cc9aab90,0xe3e05b8b1e6cd83fe05cd49082cd95a45e4bc59a,1686,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x283cbf34a178e6316c6364055c0755aa14a26230,0x0000000000000000000000000000000000000000","0.01,0,0",0xa0631ea917c7926c86404fde600b1c7fb02cc47689e5d2cbdc126e3683185bb1,103,True
0x83368b3abf0d45ecc9bf760920f2d53fc6e5d7283cd7012e1610e2aba68da28b,22183603,2025-04-02 20:25:35,0x283cbf34a178e6316c6364055c0755aa14a26230,0x24a8e8a39fe371c5fbdcd3546612f980cc9aab90,0xe3e05b8b1e6cd83fe05cd49082cd95a45e4bc59a,1684,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x283cbf34a178e6316c6364055c0755aa14a26230,0x0000000000000000000000000000000000000000","0.01,0,0",0x3e95cbdccd6c1a1363c622da7b283551686e92501299f08dd65a9298d3a32b0d,102,True
0x1c9ac35d36dc1ae4e6f5bb7f6ef29698729d59f8c45d38cf267d7e45d0fe34c0,22154923,2025-03-29 20:23:11,0xbbcca2751f9668e56a10db73b738b0bcd3519e83,0x24a8e8a39fe371c5fbdcd3546612f980cc9aab90,0xe3e05b8b1e6cd83fe05cd49082cd95a45e4bc59a,1151,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0xbbcca2751f9668e56a10db73b738b0bcd3519e83,0x0000000000000000000000000000000000000000","0.01,0,0",0xb277031286f8b02ae0da1183bab0281b1f4dd0ddf2e8ecb0900029347f500036,101,True
0x664e990c8f128b138def78552693d94af5c9d7d8a61d08b3ff0906cfa968b9cc,22154912,2025-03-29 20:20:59,0xbbcca2751f9668e56a10db73b738b0bcd3519e83,0x24a8e8a39fe371c5fbdcd3546612f980cc9aab90,0xe3e05b8b1e6cd83fe05cd49082cd95a45e4bc59a,1152,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0xbbcca2751f9668e56a10db73b738b0bcd3519e83,0x0000000000000000000000000000000000000000","0.02,0,0",0x6ce003b3f4c2d8357db1f633a8756d1e31b47092685f65281a686daaa52e3286,81,True
0xdf546e6c359db7206425e37642aab9fb679d7b95e2267872cf4b0b11b0a0a518,22144781,2025-03-28 10:21:23,0x407333e4934b983e5e94c5b5810543ba194dbdcd,0x591ec71097d9fda67cf53732239f9591688f37e9,0x495f947276749ce646f68ac8c248420045cb7b5e,42745998150656004690816543961586238000273307462307754421658803578179357246440,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x407333e4934b983e5e94c5b5810543ba194dbdcd,0x0000000000000000000000000000000000000000","1.6,0,0",0x6544829a3660fff842cb0dff56f5e4ab5137b83ef59f7d5f6ab3eadf924533b0,91,True
0x6db9526c96e05755143e0fbc082cc8d61587b42145e8739123dbd3ab3aee2bb3,22132233,2025-03-26 16:19:11,0x0ebfd1f85591a3102cea80978048c7735a790bb2,0xfe0f9ff558b26e1b5d4e4edbac621947c3673d8a,0x495f947276749ce646f68ac8c248420045cb7b5e,42745998150656004690816543961586238000273307462307754421658803578179357246440,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x0ebfd1f85591a3102cea80978048c7735a790bb2,0x0000000000000000000000000000000000000000","1.61,0,0",0xd44c9dce43c360a6c0365bdf9d6a6a4382280e7a78182c0e7c10192fd2bf24a3,18,True
0x338fbc317f8b67602a53f86c3ee5a33023f33b4f0e6242563546465b72369040,22091138,2025-03-20 22:43:23,0x20ad1fa3e3028b737991016457b7aadf59764b61,0xe2e5e5128244cdbde5395630670103d36f361349,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x20ad1fa3e3028b737991016457b7aadf59764b61,0x0000000000000000000000000000000000000000","0.05,0,0",0x794803afc62810f14586a3f94ac108137ac252222fc745ac7bdd429f8510fde1,9,True
0xe527c056fa7d69f08353dcd349dc4cc4951eba154419aafd0f6743cbd94ef5a9,22091118,2025-03-20 22:39:23,0x20ad1fa3e3028b737991016457b7aadf59764b61,0xe2e5e5128244cdbde5395630670103d36f361349,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x20ad1fa3e3028b737991016457b7aadf59764b61,0x0000000000000000000000000000000000000000","0.05,0,0",0xef02b7bd2f65dbd3529657ab014585ca6fc679e4b78db8997b07f8840e6815c7,11,True
0x2425d81d02aca8380862f40c3014200660ba2ce5d193c6e773c176bd3e371ca7,22091113,2025-03-20 22:38:23,0x20ad1fa3e3028b737991016457b7aadf59764b61,0xe2e5e5128244cdbde5395630670103d36f361349,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x20ad1fa3e3028b737991016457b7aadf59764b61,0x0000000000000000000000000000000000000000","0.05,0,0",0xbc968e5e0c7ffd119450ec32ea522e197c1d464886ba3fbba400d27225a39972,8,True
0x4aacd0e65e2d3aad06409b0e01fd7de972d69e7e16fb36f309f6b12ef866fd45,22091014,2025-03-20 22:18:23,0x20ad1fa3e3028b737991016457b7aadf59764b61,0xe2e5e5128244cdbde5395630670103d36f361349,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x20ad1fa3e3028b737991016457b7aadf59764b61,0x0000000000000000000000000000000000000000","0.05,0,0",0xfeaa233bdffd2d421896823f227c1e08bfb1346422e7ca3e08a87c9efaf961d3,7,True
0x3c128a1c1911e8e2124700e8294a607c5a1df149b7fe7e9ddd790d58f2e6c7d9,22076285,2025-03-18 20:56:11,0xeffabd026dfb83478f2a097a653fbd296dd2cdd8,0xdfa515b3ba7c0a90a3a33f571692e6303f963909,0xfe8c6d19365453d26af321d0e8c910428c23873f,6129,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0xeffabd026dfb83478f2a097a653fbd296dd2cdd8,0x0000000000000000000000000000000000000000","1.502,0,0",0xd7eb73e57b908fda0c07cf135bbb6f65292b23794063d22febe78723e2263701,239,True
0x2d3d09257cff40d378079aab2c73a550cbbc7d98bb19fd73eedad688282bd2e6,22024637,2025-03-11 15:51:23,0x398291bf69a6df993e65f58832417adcb035d358,0x0578fed193ee977fc1e91cb937b14ec5d4cab890,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x398291bf69a6df993e65f58832417adcb035d358,0x0000000000000000000000000000000000000000","0.05,0,0",0xac097b738342dc95632ac87f37703b4e417ca2bdee9aa7fd78f37d8e8d935c8f,0,True
0xd36eb0ab8e98a2051a3bb285fd80cd881bdef57a2d8c5c319798aed23a68f9b0,22015731,2025-03-10 09:59:23,0x398291bf69a6df993e65f58832417adcb035d358,0xe62c5418f0f0c157ba7e0b0e44c11a3d8855f98b,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x398291bf69a6df993e65f58832417adcb035d358,0x0000000000000000000000000000000000000000","0.055,0,0",0xc9beb4dee145284c2f850dbd53e49105d62f923e1d945c97424689fb35257c7a,2,True
0xf01680d06ae7623a08b57bf3828214018af438b55d0b495ad2ce18e946b43185,21890398,2025-02-20 21:59:59,0x49eb9c3a2f792157d3e50c262c90afd94959cbcd,0xd6ce702632f94069e138d30836194b121f047e79,0xfe8c6d19365453d26af321d0e8c910428c23873f,4267,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x49eb9c3a2f792157d3e50c262c90afd94959cbcd,0x0000000000000000000000000000000000000000","1.6,0,0",0x399aaff0eebca48164ae1659f2a8441047bbcf5742a62ca2d92f24c54c3b28ee,223,True
0xc258740c3627262b15ea47383138189840040b10f33246292bdca36f859658b7,21870370,2025-02-18 02:47:23,0xa13a1c9ffb9e19f1ea2a16a206ea7b7935705f2c,0x88b835e481cabef3c7c35e4007b2f413aab7755f,0xfe8c6d19365453d26af321d0e8c910428c23873f,3178,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0xa13a1c9ffb9e19f1ea2a16a206ea7b7935705f2c,0x0000000000000000000000000000000000000000","1.2002,0,0",0x141ec544f58cb820a71215620f7b9c5d2d09836717e922f27fafcd0e2791d0e7,1235625,True
0x052c48b6e069e723e2a0c28f95e215570bcfbb88eed17ef05d5e477b61a56dae,21814190,2025-02-10 06:00:35,0xc0b060ea3d11ce27392b72aa62b5b50edb4c92d9,0x571b8db726c2a29d237f88c9efeb896290bf395b,0x495f947276749ce646f68ac8c248420045cb7b5e,42745998150656004690816543961586238000273307462307754421658803578179357246440,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0xc0b060ea3d11ce27392b72aa62b5b50edb4c92d9,0x0000000000000000000000000000000000000000","1.45,0,0",0xf528e896113c742418d2c98027f772904b01ec9ddf8fdd998b4fa5db3a7315a9,194,True
0xf925d222723dbc95e1fd16bf29f207e4f006f01d5c2790130588b03e1ebc3e6d,21806838,2025-02-09 05:21:59,0x28cc433421930f9b22ae37ac4970ff13a54754cb,0x49b63e7582a0cbeb5886803c14ba5a15fc77d2f4,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x28cc433421930f9b22ae37ac4970ff13a54754cb,0x0000000000000000000000000000000000000000","0.04,0,0",0x2b43cab786064c2eb263e5ac280bfdc2b0db900a17f22245c9363391635110d8,3,True
0x62fa6239ef6d9586867cbbc4fb716f3eaf3d7ee3922f1fdb3cddceb1835c075a,21806831,2025-02-09 05:20:35,0x28cc433421930f9b22ae37ac4970ff13a54754cb,0x49b63e7582a0cbeb5886803c14ba5a15fc77d2f4,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x28cc433421930f9b22ae37ac4970ff13a54754cb,0x0000000000000000000000000000000000000000","0.05,0,0",0x0ab2969b5e97f6f945ed95da4081b02bf787600d1eaca1801c9cfb3dc0939e14,0,True
0x8e32b2927544b1290147129c572065f81df7e01c56fb13b8ba2d44331b863746,21806818,2025-02-09 05:17:59,0x28cc433421930f9b22ae37ac4970ff13a54754cb,0x49b63e7582a0cbeb5886803c14ba5a15fc77d2f4,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x28cc433421930f9b22ae37ac4970ff13a54754cb,0x0000000000000000000000000000000000000000","0.06,0,0",0x5fdfc244a62e266f16a411db84e817027aad0d4cd0276f74794443a059825762,1,True
0x80aed8603b42dfff045e64fe08f18ec459b3ea3bc19653384b208b2c1a168f18,21806799,2025-02-09 05:13:59,0x28cc433421930f9b22ae37ac4970ff13a54754cb,0x9571d33487fec05163291fa02474599a28313a17,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x28cc433421930f9b22ae37ac4970ff13a54754cb,0x0000000000000000000000000000000000000000","0.07,0,0",0xad72f4b47634694adceccdad8f7412f1359566014ad91c736d63223896d74748,3,True
0x2a0b01bbf05e5babd24217249eb232c15076f2cc163ac4b1517058dbd798563b,21804124,2025-02-08 20:17:11,0xb8a2724cfdbe9da6ccce3ba84ce96582a307d4bc,0xee0e68a710221d89fb016d7989e07b687f03df9e,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0xb8a2724cfdbe9da6ccce3ba84ce96582a307d4bc,0x0000000000000000000000000000000000000000","0.115,0,0",0xe172452190a132f22f1cde88c63fb46aceab70ca2cbbb41112d22f9f0f9defad,16,True
0xa68a00575c4bfc3f7e2af6bb6b18e0c8d55ad8376610509fba536caf113422de,21798603,2025-02-08 01:45:47,0x810fd2a8bb6a1565cee1484f9294f47b64039a12,0xee0e68a710221d89fb016d7989e07b687f03df9e,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0x810fd2a8bb6a1565cee1484f9294f47b64039a12,0x0000000000000000000000000000000000000000","0.11,0,0",0x2a8339460f834dcf1e5afd32c021766e4268d17bbd8cf8f08390ccfe762115cd,15,True
0x572d2a560cb04bb0a7696c695ea0d14fe2d0d29fa25542ed278eb2069b369272,21777364,2025-02-05 02:38:47,0xb8a2724cfdbe9da6ccce3ba84ce96582a307d4bc,0xee0e68a710221d89fb016d7989e07b687f03df9e,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0xb8a2724cfdbe9da6ccce3ba84ce96582a307d4bc,0x0000000000000000000000000000000000000000","0.11,0,0",0x8e1f017b57f8aaf2e9de034eb3c6c98ba337136e453923ab38d58963ec7d73e3,14,True
0x2540592659aac2e9327662cfa9ef605df75a57b6e53b3fe4d95424fb634118b9,21773425,2025-02-04 13:26:35,0xe8b820e7a2d734d0fcbd9f3ee347faf6da006e24,0x9571d33487fec05163291fa02474599a28313a17,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0xe8b820e7a2d734d0fcbd9f3ee347faf6da006e24,0x0000000000000000000000000000000000000000","0.12,0,0",0x3fc66f855998b847e97cb605dcdd1d80fced4577095fc6a968e29c3336199b0c,2,True
0x537d4a406c9c742b6bd9cdb829ad8c9324f4810e4fb7b986acb51e243e9f6f40,21761510,2025-02-02 21:28:35,0xb8a2724cfdbe9da6ccce3ba84ce96582a307d4bc,0x1935d2f36ffe0c55ea26234a93f59c12437858bf,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0xb8a2724cfdbe9da6ccce3ba84ce96582a307d4bc,0x0000000000000000000000000000000000000000","0.1,0,0",0xa6c566b8ae80616f5491f2e622dc9799a513cc31169a1f384c6e1868cc467630,0,True
0x1ff57ab0347f521a49540ec65baa3be95d8526d48395fe8c455d2ff9fd3de3bc,21761502,2025-02-02 21:26:59,0xb8a2724cfdbe9da6ccce3ba84ce96582a307d4bc,0xf5693b50ce47aab994f76e9dee1b7cd95a75d817,0x1d1b79a8c50df0e11019f822cd3d7e5d485ebdaa,5,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0xb8a2724cfdbe9da6ccce3ba84ce96582a307d4bc,0x0000000000000000000000000000000000000000","0.1001,0,0",0xdbb2b27731f6d95d92ebd7b4e86e24b54cda4900d13edeff9e348cca54d673a3,0,True
0x93681a578d96adfb8833b6ef676da6cd0119d3a0997e0271a080d57c477fe9b1,21722989,2025-01-28 12:21:11,0x9561e33b68d7c21e4010f027d751d417127cc5b5,0xefaae42fd9430d1b8d930f8f3c94d6f8721109ea,0x8ace1ec951bc29b98440d1bbca64e6010c9e9e17,281,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x0000000000000000000000000000000000000000","0.1,0,0",0x2a37b58b1df87dc62493c609606a8b61e30e6432e6529b934de80886d7f9bdfb,12,True
0x8c92f4c385f2a30c5d42a4b651bc2544f22d8dbb49e7847d206c51f1a35ad078,21709028,2025-01-26 13:36:35,0x4085bd7ed1e4a17cf84475e2c9bef279daa6879d,0x12d81e7df0646926237b72f5c56f0b11b7ade663,0xe333cd2f6e26a949ce1f3fb15d7bfac2871cc9e4,474,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x4085bd7ed1e4a17cf84475e2c9bef279daa6879d,0x0000000000000000000000000000000000000000","0.01,0,0",0xbd7f702d8eb193fd4dfc278f3a5522492be57031e8b12426715f46f2fab8560e,12,True
0xcd1f068d021086e50b4984dd09a7a8b07766aebe4301729bbad6257c9d5bd236,21698498,2025-01-25 02:19:59,0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x24a8e8a39fe371c5fbdcd3546612f980cc9aab90,0xe3e05b8b1e6cd83fe05cd49082cd95a45e4bc59a,3683,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x0000000000000000000000000000000000000000","0.01,0,0",0xdc9b80777b3e3a1bfc3f8ccabe68242437d24da19153eaa9e49e15b126ce953c,7,True
0xf3a61aed07f99ad6ae5f79054f5d29107b599fb108e584d52baba35939a808eb,21651127,2025-01-18 11:38:59,0x9561e33b68d7c21e4010f027d751d417127cc5b5,0xdfa515b3ba7c0a90a3a33f571692e6303f963909,0xfe8c6d19365453d26af321d0e8c910428c23873f,9070,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x0000000000000000000000000000000000000000","1.4,0,0",0xe31d85589e37ab6bb83399167fb8c6423b35a6df2eb51db77c1fade552454081,201,True
0x7f1a3b0b123816609bc19c8bb72461c95cca44f1e010f781d8888876cde80cd2,21621586,2025-01-14 08:39:59,0xac7d5e6f058a88a3783f360e52c06a571cc553ce,0x3bf4026937361739aaa66d0e291508005f677983,0x7e6027a6a84fc1f6db6782c523efe62c923e46ff,103352607991969552424840666034664044889264186436910620890488167531552154519878,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0xac7d5e6f058a88a3783f360e52c06a571cc553ce,0x0000000000000000000000000000000000000000","3.25,0,0",0xd2fbfbe8c0aaa312d9561c776683f226cb787699e55d799421ed9babdaea2f54,4,True
0xec5c72a9ebb100f58a01a539c3a3ce8c5141609ad09c6dc523b3fb4add4c3ffd,21621585,2025-01-14 08:39:47,0xac7d5e6f058a88a3783f360e52c06a571cc553ce,0x3bf4026937361739aaa66d0e291508005f677983,0x7e6027a6a84fc1f6db6782c523efe62c923e46ff,59596793144274782373589692893391227147215328198929222007434591728581217592096,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,"0xac7d5e6f058a88a3783f360e52c06a571cc553ce,0x0000000000000000000000000000000000000000","3.25,0,0",0x27d5a3db1b61069c72cddf1d03fcbd88103f37990d81260a678e8b554ad773a6,5,True
0x19ef46c1f6f6acfce3c008d8c31cf03a95efa3e27b59305f414cea0e647247b1,21610116,2025-01-12 18:10:59,0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x24a8e8a39fe371c5fbdcd3546612f980cc9aab90,0xe3e05b8b1e6cd83fe05cd49082cd95a45e4bc59a,2878,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x0000000000000000000000000000000000000000","0.01,0,0",0xd56e82513960a15b9501c5e6336389cf02d01ea45e77d2167856733d6454fe80,6,True
0x0c31b49d049ff20432333d517cb0516bf2cc65e1d6b97f0f767eb740b78da207,21609605,2025-01-12 16:28:11,0x9561e33b68d7c21e4010f027d751d417127cc5b5,0xc91475b6e0344269c8a08d03c9f1b2101a7cc200,0xfe8c6d19365453d26af321d0e8c910428c23873f,5131,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x0000000000000000000000000000000000000000","2.05,0,0",0x2ee6d2be6eea9e408540ee03e0cee0ee259cd515b8fee3630e32eda4e66a9a01,175,True
0x7fab1fe285a5cf679932481e7d00d98a5d153e7134bbd2e7182d913d7d460786,21607930,2025-01-12 10:51:59,0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x24a8e8a39fe371c5fbdcd3546612f980cc9aab90,0xe3e05b8b1e6cd83fe05cd49082cd95a45e4bc59a,2982,1E-18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,"0x9561e33b68d7c21e4010f027d751d417127cc5b5,0x0000000000000000000000000000000000000000","0.01,0,0",0xe2ec1a0270ae3c993a4a429f9985590d84d900ac8ed1fc40e5a51d8d8089a0c4,5,True
